Qty,Designator,Footprint,Comment,LCSC Part #,Description,Device
1,C2,C0402,0.1uF,C1525,"CAPACITOR, European symbol",C-EUC0402
5,"R5, R9, R10, R12, R14",R0603,10K,C25804 ,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
1,C1,C0402,10uf,C15525,"CAPACITOR, European symbol",C-EUC0402
2,"R7, R11",R0603,1K,C21190 ,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
190,"S_LED1, S_LED2, S_LED3, S_LED4, S_LED5, S_LED6, S_LED7, S_LED8, S_LED9, S_LED10, S_LED11, S_LED12, S_LED13, S_LED14, S_LED15, S_LED16, S_LED17, S_LED18, S_LED19, S_LED20, S_LED21, S_LED22, S_LED23, S_LED24, S_LED25, S_LED26, S_LED27, S_LED28, S_LED29, S_LED30, S_LED31, S_LED32, S_LED33, S_LED34, S_LED35, S_LED36, S_LED37, S_LED38, S_LED39, S_LED40, S_LED41, S_LED42, S_LED43, S_LED44, S_LED45, S_LED46, S_LED47, S_LED48, S_LED49, S_LED50, S_LED51, S_LED52, S_LED53, S_LED54, S_LED55, S_LED56, S_LED57, S_LED58, S_LED59, S_LED60, S_LED61, S_LED62, S_LED63, S_LED64, S_LED65, S_LED66, S_LED67, S_LED68, S_LED69, S_LED70, S_LED71, S_LED72, S_LED73, S_LED74, S_LED75, S_LED76, S_LED77, S_LED78, S_LED79, S_LED80, S_LED81, S_LED82, S_LED83, S_LED84, S_LED85, S_LED86, S_LED87, S_LED88, S_LED89, S_LED90, S_LED91, S_LED92, S_LED93, S_LED94, S_LED95, S_LED96, S_LED97, S_LED98, S_LED99, S_LED100, S_LED101, S_LED102, S_LED103, S_LED104, S_LED105, S_LED106, S_LED107, S_LED108, S_LED109, S_LED110, S_LED111, S_LED112, S_LED113, S_LED114, S_LED115, S_LED116, S_LED117, S_LED118, S_LED119, S_LED120, S_LED121, S_LED122, S_LED123, S_LED124, S_LED125, S_LED126, S_LED127, S_LED128, S_LED129, S_LED130, S_LED131, S_LED132, S_LED133, S_LED134, S_LED135, S_LED136, S_LED137, S_LED138, S_LED139, S_LED140, S_LED141, S_LED142, S_LED143, S_LED144, S_LED145, S_LED146, S_LED147, S_LED148, S_LED149, S_LED150, S_LED151, S_LED152, S_LED153, S_LED154, S_LED155, S_LED156, S_LED157, S_LED158, S_LED159, S_LED160, S_LED161, S_LED162, S_LED163, S_LED164, S_LED165, S_LED166, S_LED167, S_LED168, S_LED169, S_LED170, S_LED171, S_LED172, S_LED173, S_LED174, S_LED175, S_LED176, S_LED177, S_LED178, S_LED179, S_LED180, S_LED181, S_LED182, S_LED183, S_LED184, S_LED185, S_LED186, S_LED187, S_LED188, S_LED189, S_LED190",CHIP-LED0603,20mA,C375444,LED,LEDCHIP-LED0603
5,"R1, R2, R3, R8, R15",R0402,470R,C176112,"RESISTOR, European symbol",R-EU_R0402
1,R6,R0603,4K7,C23162,RESISTOR,52101-101-REV-A_RC-MASTER-SMD_R_0603MP
5,"DOWN, FAST_DROP, LEFT, RIGHT, SPIN",K21107STA4SW06,K2-1107ST-A4SW-06,C961737,Tactile Switches SPST-NO 6.10mm x 3.60mm 2.50mm 50mA @ 12VDC SMD RoHS,K2-1107ST-A4SW-06
1,S1,K31296SE1,K3-1296S-E1,C431541,Toggle Switches SMD RoHS,K3-1296S-E1
1,U1,MICROCHIP_ATMEGA328PB-AU_0,MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0,C132230 ,ATmega328PB Summary Datasheet,MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0
