Designator,Mid X,Mid Y,Layer,Rotation
C1,69.469,27.813,TOP,270
C2,57.531,27.813,TOP,90
DOWN,13.969997,8.254997,TOP,315
FAST_DROP,71.119997,8.254997,TOP,225
LEFT,6.984997,18.414997,TOP,315
R1,64.643,33.401,TOP,270
R2,63.5,33.401,TOP,270
R3,62.357,33.401,TOP,270
R5,15.874997,10.159997,TOP,135
R6,8.889997,20.954997,TOP,135
R7,22.859997,20.319997,TOP,135
R8,65.786,33.401,TOP,270
R9,64.389,19.431,TOP,270
R10,60.96,19.431,TOP,270
R11,69.214997,10.159997,TOP,45
R12,76.199997,20.319997,TOP,45
R14,62.611,19.431,TOP,270
R15,61.214,33.401,TOP,270
RIGHT,20.954997,18.414997,TOP,315
S1,82.2,45.593,TOP,90
SPIN,78.104997,18.414997,TOP,225
S_LED1,31.115,5.08,TOP,270
S_LED2,33.655,5.08,TOP,270
S_LED3,36.195,5.08,TOP,270
S_LED4,38.735,5.08,TOP,270
S_LED5,41.275,5.08,TOP,270
S_LED6,31.115,7.62,TOP,270
S_LED7,33.655,7.62,TOP,270
S_LED8,36.195,7.62,TOP,270
S_LED9,38.735,7.62,TOP,270
S_LED10,41.275,7.62,TOP,270
S_LED11,31.115,10.16,TOP,270
S_LED12,33.655,10.16,TOP,270
S_LED13,36.195,10.16,TOP,270
S_LED14,38.735,10.16,TOP,270
S_LED15,41.275,10.16,TOP,270
S_LED16,31.115,12.7,TOP,270
S_LED17,33.655,12.7,TOP,270
S_LED18,36.195,12.7,TOP,270
S_LED19,38.735,12.7,TOP,270
S_LED20,41.275,12.7,TOP,270
S_LED21,31.115,15.24,TOP,270
S_LED22,33.655,15.24,TOP,270
S_LED23,36.195,15.24,TOP,270
S_LED24,38.735,15.24,TOP,270
S_LED25,41.275,15.24,TOP,270
S_LED26,31.115,17.78,TOP,270
S_LED27,33.655,17.78,TOP,270
S_LED28,36.195,17.78,TOP,270
S_LED29,38.735,17.78,TOP,270
S_LED30,41.275,17.78,TOP,270
S_LED31,31.115,20.32,TOP,270
S_LED32,33.655,20.32,TOP,270
S_LED33,36.195,20.32,TOP,270
S_LED34,38.735,20.32,TOP,270
S_LED35,41.275,20.32,TOP,270
S_LED36,31.115,22.86,TOP,270
S_LED37,33.655,22.86,TOP,270
S_LED38,36.195,22.86,TOP,270
S_LED39,38.735,22.86,TOP,270
S_LED40,41.275,22.86,TOP,270
S_LED41,31.115,25.4,TOP,270
S_LED42,33.655,25.4,TOP,270
S_LED43,36.195,25.4,TOP,270
S_LED44,38.735,25.4,TOP,270
S_LED45,41.275,25.4,TOP,270
S_LED46,31.115,27.94,TOP,270
S_LED47,33.655,27.94,TOP,270
S_LED48,36.195,27.94,TOP,270
S_LED49,38.735,27.94,TOP,270
S_LED50,41.275,27.94,TOP,270
S_LED51,31.115,30.48,TOP,270
S_LED52,33.655,30.48,TOP,270
S_LED53,36.195,30.48,TOP,270
S_LED54,38.735,30.48,TOP,270
S_LED55,41.275,30.48,TOP,270
S_LED56,31.115,33.02,TOP,270
S_LED57,33.655,33.02,TOP,270
S_LED58,36.195,33.02,TOP,270
S_LED59,38.735,33.02,TOP,270
S_LED60,41.275,33.02,TOP,270
S_LED61,31.115,35.56,TOP,270
S_LED62,33.655,35.56,TOP,270
S_LED63,36.195,35.56,TOP,270
S_LED64,38.735,35.56,TOP,270
S_LED65,41.275,35.56,TOP,270
S_LED66,31.115,38.1,TOP,270
S_LED67,33.655,38.1,TOP,270
S_LED68,36.195,38.1,TOP,270
S_LED69,38.735,38.1,TOP,270
S_LED70,41.275,38.1,TOP,270
S_LED71,31.115,40.64,TOP,270
S_LED72,33.655,40.64,TOP,270
S_LED73,36.195,40.64,TOP,270
S_LED74,38.735,40.64,TOP,270
S_LED75,41.275,40.64,TOP,270
S_LED76,31.115,43.18,TOP,270
S_LED77,33.655,43.18,TOP,270
S_LED78,36.195,43.18,TOP,270
S_LED79,38.735,43.18,TOP,270
S_LED80,41.275,43.18,TOP,270
S_LED81,31.115,45.72,TOP,270
S_LED82,33.655,45.72,TOP,270
S_LED83,36.195,45.72,TOP,270
S_LED84,38.735,45.72,TOP,270
S_LED85,41.275,45.72,TOP,270
